Number;State;Value;batch size;Learning rate;Model;Weight decay;Val Loss (best) ;Accuracy;ROCAUC;F1 - Score;Precision;Model path;;;;;
0;COMPLETE;0.7655;64;6.33E-10;vggnet;6.77E-04;0.5988;0.6644;0.7262;0.626;0.6833;Image_Models/checkpoints_opt/trial_0.pt;;;;;
2;COMPLETE;0.7801;64;1.17E-04;vggnet;4.47E-10;0.5962;0.661;0.7473;0.64;0.6617;Image_Models/checkpoints_opt/trial_2.pt;;;;;
3;COMPLETE;0.754;32;9.35E-04;resnet;5.04E-11;0.5883;0.6678;0.7365;0.6572;0.6596;Image_Models/checkpoints_opt/trial_3.pt;;;;;
4;COMPLETE;0.7933;32;1.58E-04;resnet;3.57E-10;0.6333;0.6644;0.7574;0.5882;0.7292;Image_Models/checkpoints_opt/trial_4.pt;;;;;
5;COMPLETE;0.7585;64;8.77E-04;resnet;2.33E-11;0.6287;0.6267;0.6896;0.5918;0.632;Image_Models/checkpoints_opt/trial_5.pt;;;;;
6;COMPLETE;0.801;32;6.40E-04;googlenet;1.79E-10;0.614;0.7329;0.801;0.7329;0.7133;Image_Models/checkpoints_opt/trial_6.pt;;;;;
7;COMPLETE;0.7877;32;2.97E-10;vggnet;1.52E-04;0.6054;0.6918;0.7793;0.6617;0.7097;Image_Models/checkpoints_opt/trial_7.pt;;;;;Test
8;COMPLETE;0.7769;32;1.77E-11;googlenet;6.41E-10;0.611;0.7021;0.7729;0.679;0.7132;Image_Models/checkpoints_opt/trial_8.pt;;;;;
9;PRUNED;0.7199;32;2.73E-10;vggnet;6.22E-04;;;;;;;;;;;
10;COMPLETE;0.8116;32;4.38E-10;resnet;4.97E-10;0.585;0.7226;0.8016;0.7158;0.7133;Image_Models/checkpoints_opt/trial_10.pt;;;;;
11;COMPLETE;0.7716;64;1.12E-11;resnet;7.90E-09;0.5993;0.6918;0.769;0.6853;0.6806;Image_Models/checkpoints_opt/trial_11.pt;;;;;
12;COMPLETE;0.8107;32;2.38E-04;googlenet;1.71E-09;0.5925;0.6986;0.7845;0.6944;0.6849;Image_Models/checkpoints_opt/trial_12.pt;;;;;
14;COMPLETE;0.8096;32;2.53E-04;googlenet;1.21E-09;0.619;0.7021;0.7731;0.6717;0.7236;Image_Models/checkpoints_opt/trial_14.pt;;;;;
15;COMPLETE;0.7742;32;5.10E-10;googlenet;1.33E-10;0.6428;0.7295;0.7742;0.7358;0.7006;Image_Models/checkpoints_opt/trial_15.pt;;;;;
16;COMPLETE;0.8;32;3.76E-04;googlenet;1.47E-04;0.6479;0.7329;0.798;0.6953;0.7807;Image_Models/checkpoints_opt/trial_16.pt;;;;;
17;COMPLETE;0.7976;32;6.59E-10;resnet;4.68E-09;0.5829;0.7089;0.7882;0.6886;0.7176;Image_Models/checkpoints_opt/trial_17.pt;;;;;
18;COMPLETE;0.7969;32;2.33E-04;resnet;1.62E-04;0.613;0.6849;0.7969;0.6489;0.7083;Image_Models/checkpoints_opt/trial_18.pt;;;;;
19;PRUNED;0.7282;32;9.16E-10;googlenet;1.91E-11;;;;;;;;;;;
20;COMPLETE;0.7946;64;3.92E-10;googlenet;3.63E-10;0.6207;0.6986;0.7946;0.6692;0.7177;Image_Models/checkpoints_opt/trial_20.pt;;;;;
21;COMPLETE;0.7833;32;4.03E-04;resnet;3.47E-04;0.6604;0.6918;0.7833;0.6512;0.7241;Image_Models/checkpoints_opt/trial_21.pt;;;;;
22;PRUNED;0.7683;32;1.65E-04;resnet;8.99E-10;;;;;;;;;;;
23;COMPLETE;0.8105;32;2.85E-04;googlenet;1.12E-11;0.6256;0.7226;0.8105;0.7011;0.7364;Image_Models/checkpoints_opt/trial_23.pt;;;;;
24;COMPLETE;0.7915;32;4.08E-04;googlenet;8.68E-08;0.6184;0.6781;0.7795;0.6357;0.7069;Image_Models/checkpoints_opt/trial_24.pt;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Trial 1 & 13 failed due to program stop;;;;;;;;;;;;;;;;;
PRUNED: MedianPruner after warmup of 5 Epochs;;;;;;;;;;;;;;;;;
GREEN:;Top 3 ROCAUC scores;;;;;;;;;;;;;;;;
